county,Filename,API,STRT DEPT,TVD,Curves,GR,SP,PE,NPHI,DPHI,XPHI,SPHI,DT,DTC,DTS,ILD,ILM,LLD,MSFL,RHOB,POTA
Andrews,00338004.las,4200338005,159.5,10712.5,16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338005.las,4200338005,5009.5,10692,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338129.las,4200338129,12815.5,10300,17,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Andrews,00338202.las,4200338202,199.5,10712.5,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338226.las,4200338226,190.5,9396,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338235.las,4200338235,167.5,9570,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338254.las,4200338254,173.5,9345,17,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0
Andrews,00338261.las,4200338261,196.5,10697,16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338271.las,4200338271,170,10686,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338281.las,4200338281,199.5,10705,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338331.las,4200338331,162,4703.5,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338335.las,4200338335,255,10694,18,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338362.las,4200338362,147.5,10501.5,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00338384.las,4200338384,223.5,10916,39,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Andrews,00338424.las,4200338424,254.5,10703,39,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Andrews,00338438.las,4200338438,176.5,10708,38,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Andrews,00338565.las,4200338565,22.5,9505,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00341658_UNIV_11_A_7_LAS.LAS,4200341658,3013.5,7631.25,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,00341665_DISCOVERY_UNIVERSITY_11_8_FIELD_LAS.las,4200341665,103,7706,20,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
Andrews,00345802_Univ_8_8 _1.LAS,4200345802,9.5,11815,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,10976110_ConocoUnivAndrews134_Main_rev.las,4200339496,233.5,6517.5,45,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Andrews,10976110_ConocoUnivAndrews134_repeat_rev.las,4200339496,6241,6528,45,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Andrews,10977215_Conoco_UniversityAndrews_136_MAIN_015LUP.las,4200339497,186,6517.5,48,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,10977215_Conoco_UniversityAndrews_136_REPEAT_010PUP.las,4200339497,6301,6522.5,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,10977221_COPC_UniversityAndrews_137_MAIN_012LUP.las,4200339493,186.5,6517.5,50,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,10977221_COPC_UniversityAndrews_137_REPEAT_011PUP.las,4200339493,6221,6513,50,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,11003602_ConocoPhillips_University_UA_#1_Repeat_Pass_NGS_TLD_MCFL_CNL.las,4200339563,6791,7135.5,52,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,11038268_COP_UnivAndrews141_MAINPASSNGS_TLD_MCFL_CNL_010LUP.las,4200339570,188,6517.5,50,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,11038268_COP_UnivAndrews141_REPEATPASS_HNGS_TLD_MCFL_CNL_009PUP.las,4200339570,6293.5,6513,50,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
